polaridad;tweet
negativo;favor levant pued empres estrateg rentabl pued consecionadasmejor rob sup rentabl patrimoni ecuatorian
positivo;rt coordin mintel oper transparent informacion
negativo;rt carg empres estadounidensesegun portal consej
negativo;puebl vot polit izquierd eleccion canall
positivo;respons social corpor cnt evident brind apoy necesit excelent gestion man ec respald fuerz blanc volant
negativo;jajajajajjajajajajajjajajajajajajajjajajaja tuenti telibl 
negativo;chist
positivo;lind guissesegur ganarassalud
negativo;buen efect sig internet
positivo;rt aniosbsc logr mejor result torne nacionalescon hombr logr vir gan co
negativo;jajaj pas man
positivo;rt apoy equip vid auquist corazon idol puebl auc
negativo;val verg
positivo;transmit noch amarill
negativo;carg auditori public document algui cnt superavit document
negativo;com muerd
negativo;usd mil millon pid gobiern cnt gt teleram notici via
negativo;amig favor ayud carg link
negativo;huyyy jod man demoron ineficient 
negativo;sres tont pens televisor iba tant problem cort servici tant inoperat devuelv televisor servici cac supuestament solucion
negativo;debit banc cort servici banc tom cancel movist banc cancel automat debit bancariosr revis rob descar
negativo;recuerd ayercu pus tech util trabaj sali propagand gobiern imagen sugest vid emple cas miami ferraris final tech
negativo;chuch util ose planificacion tributari util dej cag hij put deberi ingres ecuador gust dej mam verg companii sac
negativo;caballer recib llam brind solucion noch problem recurrent pierd line telefon internet senial intermitent
negativo; cambi plan autorizacion
positivo;acab envi dm
negativo;estim solicitud gener mes solucion pedi cambi post pag prepag vuelt vuelt ayud
positivo;rt jug experient hinch deb sub twitt fot
negativo;franc llam call cent sac quici cualqu enseni modul ton voz habl fastidi llameee
negativo;buen tard quier report dani line telefon encuentr ton llam report cas repuest graci
positivo;renovacion equip pose plan graci
negativo;vot popul comentaristasest capac futbol muyyyyyyyper muuuuuuuyyyyyylej 
negativo;ment circunst ciudadani perjudic negat retor diefier ejecucion bast ment
negativo;produc anual bas prens mercantil interes public
negativo;arregl viern vien arregl internet
negativo;empez privatizacion disfraz concesion hidroelectr extrani sirv interes negoci feo volv pd nid rat bucaram
positivo;rt holgu quinionez conviert ecuatorian qued campeon futbol brasileni ht
negativo;necesit ayud establec servici
negativo;afrent diner gananci llev extranjer mexic cnt product nacional
negativo;pesim servici cc san luis minut esper pas turn
positivo;numer hech confirm comi client cambi
negativo;fastidi hostig llam ofrec servici
positivo;rt mejor atencion usuari cnt reflej
negativo;rt desconoc prefier dibuj
negativo;tip control pon debit transferent movimient line
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
negativo;mentir moren ofrec mentir qued inpun pregunt inpun asesinat period parej sant doming cinic mentir puebl cre olirgarqui rater acolit
negativo;problem red llam
positivo;buen cancel internet cas telefoni fij
negativo;quier pes ayud herman huir seman
negativo;empres exedent millon ani privatizacion rob
negativo;senior atend zon tonsup tecnologi lte vien disfrut feri noved naveg falt cobertur
negativo;ojal vuelv ineficient cobr factur elservici brind
negativo; articul mencion telefon cnt telconet cabl submarin favorec preci internet baj
negativo;mam consumi mes tripl pack cobr mes consum cort plan ayud relaj cantid deb pag
negativo;punt servici quit av prens flavi alfar sirv solucion problem dirig cond incompetent
negativo;vend put madr pari buen negoci pat apell caputi mafios italian
negativo;ripley qued servici llam pregunt pas mart acerqu personal cancel line comenc oper insisti insisti pantall
positivo;lind notici felic marc atlet impresion 
negativo;demor falt intermitent senial ani result gestion accion
negativo;lent guayaquil imaginens 
negativo;rt verdader soport servici
positivo;red social mes
negativo;permit ilegal
positivo;plan uds cambi
negativo;buen actualizacion sistem internet movil sufr fall tecnic dispong servici 
negativo;prof unic culpabl ud contrat cnta porqueri llam servici
negativo;diferent llev jajajjaa
negativo;confi halag alemani llam schleim senior profesional engani segur infiltr inici oportun sac proxim eleccion 
negativo;hart dej llam quier cambi oper entiend 
negativo;friament calcul desprestigi empres public quebr vend preci gallin pest libret puebl ecuatorian conoc traidor pag destru patri
negativo;rt conoc condicion concesion valoracion hiz
positivo;rt felicit miembr present ta memori sostenibil empres somet voluntariam
positivo;genial pan
positivo;rt conoc nariz diabl vacacionesetiquet person especial pued visit siti turistic
positivo;felicit ing romer cnt carbensemix present
negativo;gratis mentir termin cobr
positivo;cuantam dem informacion comb conoc
negativo;rt terribl cnt
positivo;rt person pid informacion cierr respondi
negativo;sig llam
negativo;internet line telefhast hptas
negativo;servici ecuador
negativo;rt ecuador polit reactivacion puebl ecuatorian manifest ma
positivo;salud cost plan hari obten graci
positivo;intencion entreg concesion administracion reflexion coordin banc asambl via
positivo;resolvi graci
negativo;negoci escuch ofert
positivo;realiz trabaj fusion fibr optic
positivo;numer mient buen manej frut empres rentabl telecomun
negativo;buen favor servici internet caid llam veng repar veni famili qued internet numer visit tecnic veng favor
negativo;unic pued ayud resolv problem public reclam llam ayud problem
negativo;vay privatiz
positivo;interes revis
negativo;corre dictador 
positivo;benefici insuper futbol cas excelent gestion coop unid present
negativo;llev gananci liqu maquin devuelv maquin obsoletaschatarr subir cost llam ecuatorian pag cost porq dueni duranteani vin gan puebl ojo
negativo;pen problem recurrent atencion public pareceri afluenci ciudadan cumpl tramit
negativo;hechit ojal salg call trabaj cnt lament viv mund perjudiqu alla esper cuantic traidor
negativo;pobr imbecil ani dej basur bast arde troy pas
negativo;val verg president corre tip
negativo;fij pap cas perfil internet fij opin empiec jueg hambr
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
negativo;oper exist mat ofrec pesim servici internet malisim internet
negativo;rt consecion carcel vend jorg glass ladron inclu pusier
negativo;repit pag mensual mb veloc cumpl colm client exij arregl inmediat
negativo;legal
negativo;asombr gent lastim glorios ani avanc referent mundial tild honest apropi form facil trist pasiv puebl ignor
positivo;rt enfrent obtien noven estrell
negativo;rt senior line telefon ton report arregl
negativo;rt sres lleg suegr mensaj servici solicit segur
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;recibi mensaj dic utilic meg
negativo;mal dat compr den pequeni obsequi
negativo;rt gobiern decid concesion mil millon ani ratif asesor santiag cuest
positivo;decepcion ple
positivo;rt graci nominacion honr distincion votacion
negativo;privatic cnt privatizacion fars rob
negativo;senior necesit soport tecnic numer servici client sirv problem internet fij contrat favor respond pued ayud salud
negativo;call cent peor solucion problem deberi aguant tip servici oper telefoni medi hor propagand llam solucion
negativo;favor vergenz carl slim
negativo;solucion ineficient 
negativo;rt oig hij put llev mes servici reput gan solucion manifi
negativo;creativ panel cost quis vend deberi panel equilibr sierr barr ofrec product
negativo;noooo nooo comet error mal peoressssss
negativo;punt vist empresarial recib impuest gener util quiebr necesari tip acciones quieranprepar camin asegur futur rest vid
positivo;rt continu apoy continu
negativo;grup favorec puebl olvid resist companier rc pers
negativo;vea panavay yasuniy abraz tronc grues
negativo;pud cobertur praderaun vergenz
positivo;prueb
negativo;ap revel reunion tem concesion defin pid dialog banc condicion
negativo;cambi dar servici mierd nivel 
positivo;merec hij hermos
positivo;pas chever 
negativo;lut cag sum vend empres hidroelectr benefici incompetent renunci
negativo;pil instal ahorr problem servici entrad sal vas pag mult
positivo;rt numer mient buen manej frut empres rentabl telecomunic
positivo;ped vuelv telesur parril client merec respet
negativo;servici canal atencion respond pas
negativo;public mierd pur corrupcionqu
negativo;inoper har mal public
positivo;qued sald haz recarg mantent comunic sms cobr amig
negativo;llam pregunt plan dej esper cort
negativo;senior servici celul pm suced
negativo;gobiern reduc taman segur sucr tam rtv corre ecuador cnt
negativo;gobiern frent muestr sonris hipocrit dialog fals
positivo;quis neces quis plan mami dispuest pag
positivo;quier cambi avisenm senial cubr barri centenari llam indic cubri sector
negativo;unic mal pon anten lugar masiv pobl mejor senial logr dani salud mejor cobertur
negativo;cambiat
negativo;rt estim ciud piniasel oro pesim servici telecomunicacion llam
negativo;rt ide vend
negativo;jodi joder mund viv lastin pobr patri busqu dios abandon fiel man gobiern histori equivoc
negativo;jajajaja
positivo;mal cnt
negativo;rt burr cuantic semi dios banc dod pued
negativo;chup medi revolucion permit critic call ani cinic car tuc expresion emple lid amad
positivo;cas continuar instanci graci
negativo;brom obrad actos obras amor buen razon
negativo;senior dej llam ofrec servici telefoni movil perd pacienci cordial saquenm list llam quier servici entiend
negativo;jajaj propagand sal viki
negativo;oficin machal atiend client prepag oficin sistem client cos fals pesim atencion
negativo;troll cent mierd
negativo;mes descar dec atend
negativo;llam val verg gtv
negativo;pequeni signif deb consider person pequeni ideal permit riend ecuador manipul person inescrupul 
negativo;dianav inteligent dic cre privatiz acab corrupcion acas pobrez corrupcion chil investig
positivo;empres recurs rif
positivo;rt rafael villavicenci gerent regional austr hol gent explic mani
negativo;especial abog coactiv desgraci
negativo;seri inapropi llam dej descans satisfech plan actual 
positivo;gent refuerz
negativo;call cent funcion necesit respuest
negativo;internet cas min contest oper 
negativo;rt patrimoni ecuatorian quier veng factur llev gananci
positivo;rt pedr quinionez vest camiset bombill viv experient mensaje emelec
negativo;buen tard favor ayudenm report dani line fij ciud loj graci
negativo;senior present quej escuch personal vent ofrec product mes present quej grabacion chats oper muestr ofreci respuest
negativo;vay concecion zapatoses suyol ecuatorian top nadatraidor evasoresn permit top pel nuestrobast yatraidor puebl carcel
positivo;netlif internet tv pag directv cambi valdr pen creem
negativo;ves reclam
negativo;llam servici client impos contact oper
negativo;medi digital period multimedi pon hil fin period veo nomin mayori public rumor import debat altur
negativo;rt colm intim indic continu proces denunci tar
positivo;rt ani dquit vivi glori proclam ta campeon ecuador recuerd htt
positivo;rt oficin urdes bals call unic edifici esqu
positivo;pas aplic whatsapp sirv internet select sirv determin app
negativo;atend farsant cc
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest
negativo;line convencional servici pierd import soli pos
negativo;person atencion client sucursal bosqu atiend person convers interes cuadr horari navid ani darl llam atiend graci
negativo;perd credibil cogi senial carreter cog senial via aloag sto doming
negativo;proveedor aut cancel manten aleg decision usuari esper restablezc internet result tecnic veng chistehast esper
positivo;ose defiend reclam sup servici cobr terceriz ose maquin cajer cobr empres cobr ctvos mand verg
negativo;servici internet vid internet fibr optic
positivo;depend sector viv conozc person utiliz negoci buenoper quier ve punt net buenosalud
negativo;rt privatizacion telefon list empres estadounidens carg busqued client
negativo;rt derech pas
negativo;pertenec puebl permit atropell
negativo;brav senior bocon compr energi colombi hidroelectr caen pedaz obtien rent estaf puebl ecuatorian pes servici pag millon modernizacion
positivo;rt ani naci agustin delgadoun futbol influyent historiaclav clasif mundial gole
negativo;decision trascendent carg person
negativo;compr 
negativo;simpl cansel servici
negativo;terribl critiqu conoc tem
negativo;favor servici pesim calid abus exces cobr servici contrat 
negativo;graci peorrrr
negativo;deberi configur oportun buen servici preci razon gan merc client oportun buen ofert cambi
negativo;maldit
negativo;privatizacion signif desp emple enter lleg notif escritori unen manian llor
negativo;fot fals textual pon apoy madur mient
positivo;deshac activ perdidasd analisis realid benefici paishay activ destru dat ani favor partid analit
positivo;ani fund unic equip campeon cop libert unic equip ecuatorian gan torne internacionalespor olvid recuerd pil
negativo;rt preci gallin robadal column alexis ovied
negativo;plan habl 
negativo;devuelv llam buzon
positivo;amig pas oper ped millon simplement cuelg telefon pong numer blacklist opcion androids recib llam numer blacklist entran suen 
negativo;rt privatizacion telefon listaempres estadounidens carg busqued client disposici
positivo;mal ide concesion deberi pens vend exist algui interes compr
negativo;viend pelicul movist play consum dat prom gb
positivo;rt ani naci raul pavit noriegael unic ecuatorian jug bocajrs campeon bsc don
negativo;president colegi ingenier electr electron manabi alex gonzal vien llev pretend concesion empres
negativo;srs ani numer indign solicit mes cambi plan result firm tramit hic shoping sto dgo plan iva gan aseror
negativo;hpt respet dej vend regal todoporqu
negativo;seman domicili naranjal servici telefon internet gener cas respuest ayud urgent
negativo;rt parenl senior seri molest quier servici quer
negativo;result increibl leer contabil confiabl ingres pasiv rentabil pon vent administr ani
negativo;servici ani cancel contrat cobr mes ayud hp
positivo;rt pirl noch amarill pued cumpl sueni viv
positivo;excelent dieg vot abraz
negativo;buen telemarketer llam plgp
negativo;contrat just camin empres public nid delincuent traj busc equilibri benefici part 
positivo;rt manabit vot jocelyn ver ver nomin premi categori
negativo;pesim atencion centr atencion hipermarket parqu californi ayud configuracion telefon ten esper hor 
negativo;guard factur privatic cnt jugos aument servici culp corre mahu president histori 
negativo;rt deci supuest concesion empres publicasest nombr privatiz empres public
negativo;serion siqu client sal cm profesional niniit resabi mal educ
negativo;noviembr solicit cancelacion internet domicili simplement cans mal servici respuest entreg equip deb esper trat client
negativo;not tip desf econom esper mes acredit consum
positivo;rt manian proyect inici recorr quit tren sueni agr
positivo;buen campeonat ecuatorian futbol cost adicional ani seguir ani
negativo;mult matricul mult sistem 
negativo;tetric situacion
positivo;consider favor necesit informacion
positivo;quier pongal ojo
negativo;servici internet amierd caraj quier convert hog inteligent cambi proveedor
negativo;michelen ley impid privatizacion cnt
negativo;servici sup car plan proveedor
negativo;ojal qued experient vist segu pas independient suscrit bloqu numer
negativo;senior ecuador ciud pini provinci oro juev senial pesim operadoraser arregl problem emigr oper
negativo;ojal parec ofrec pa campeonat local senial hd mes quit senial
negativo;internet cas horribl necesit solucion llev internet llam
negativo;public perfil hij put traidor mamarrach
negativo;rob celul eatoy recib llam numer pregunt nombr devuelv llam numer inact correct pas
negativo;volv graci 
negativo;buen tard estim consult person deud debit ahorr mes
positivo;ener recarg 
negativo;servici movist pesim oficin scal cumbay seniorit atiend pas maquill
negativo;mencion tesorit robolucionari acas gobern
negativo;cnt pas man priv
positivo;graci brind servici calid
positivo;cnt lid tecnologi carbensemix present
negativo;copi profug
negativo;pan anda competent
negativo;estupidez
negativo;eeeh graci viv present pobrez
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam 
negativo;pas cambiart amiw
negativo;envi pendej promocion intrus sal
negativo;impuest disfraz homologacion celular cre tecnologi innov estandandariz mund realretard
negativo;pas gan
negativo;barbar medi comunicacion sig dic mentir gerent regional movist
positivo;numer llam servivi tecnic internet
negativo;senior dej llam interes
negativo;quit call joaquin pint amazon carr dani cajetin arregl favor
negativo;jajaj burocraci llor comun arde
positivo;interes
negativo;empres atencion client cre adquir equip conform pag desgraci
positivo;empres
negativo;servici mes fall
negativo;rt recomend seri ineficient servici
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;rt vot sucr deport emision categori panel radi nomin pr
negativo;tem ien gobiern romp contrat nacionaliz cnt dir gobiern comun social segur jurid ecuador espant inversor decision jod 
negativo;ojal navid regal buen senial
negativo;buen favor ton telefon sauc mz conozc telefon pag graci
negativo;vergant manipul pelel pendej paraplej mental acced interes gall
negativo;comenz exig hag public contabl tare amig econom
positivo;hor atiend
negativo;prim ani miser corre gent
negativo;esmer internet sirv 
negativo;har cambi proveedor salud
positivo;graci vist pais atiend rap felic fiest
negativo;numer favor par llamader
negativo;funcion horribl
positivo;pas emple vend bas llam numer ofrec servici espos
negativo;sig verifoc senior manian esper sep explic detall razon demor supong compensacion supong
negativo;contest numer agenci movist solucion agenci empres xq guayaquil quit graci hac perd solicit dat dec sabi factur
negativo;srs quier envi mensaj intern quier lluev internet pregunt via telefon asegur escrib nuev tem
negativo;estim doctor cordial salud analisis comentari negat frent empres public mir cantid respuest comentari comentari posit lament
negativo;realid paralel festin empiez
positivo;empres calid buen servici
negativo;quedar graci excelent servici
negativo;rt empres public balanc afric subsaharian
negativo;graci cambi oper
negativo;mal servici dios internet mal recl llam quit solucion problem problem ensenial
negativo;rt permit descalabr quier dej hues 
negativo;graci llam pregunt problem qued iban instal codif cas requer atend doming
positivo;jorg enriqu puent vill 
negativo;negoci plat ecuatorian privatiz cnt not empresauri codici
negativo;rt sinverguenz
negativo;senior ecuador instaur traicion irrespet atrev llam usuari movi propon maravill cambi sig llam jam cambiar oper
negativo; expliquenm cancel pesim servici pag razon mes servici volv pag servici contrat cancel servici
negativo;rt ciudadan client cnt deberi envi mensaj
negativo;maldit bastard empres ecuador convert mojigat pusilanim metert ded man fond
positivo;rt candidat luch vest camiset equip armad grup ivan hurt pondr prueb tendr
negativo;telefon internet servici factur cobr complet ayud solucion
positivo;felicit excelent ventaj 
negativo;cnt estrateg concesion 
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;rt samsung quis navid elig galaxy galaxy
negativo;recuerd campeonat pas senial abiert contratal paquet concesion
negativo;explicam ray lleg spam public tercer corre cre exclus envi facturasy corre client
negativo;quier huaweidetest chin hdps
negativo;jajajajajajaj diabl
positivo;suscriptor cnt pas
negativo;mal servici quier regres movist tardanz pens competent client rap
negativo;avisoestim padr famili inform seman recept pag tarjet debit credit institucion trabaj extern cnt sector pag realic chequ efect
negativo;llev cnt pas pagin xenofi convirt distraccion patulec malechor rif empres public
negativo;termin ani servici internet mejor gan suert regres llam esper tecnicocu cobr xq descuent servici
negativo;quier opin gobiern consecion cnt evit semej atrac ud
negativo;estim movist favor necesit cancelacion plan favor proced
positivo;rt alianz nacional internacional particip mund
negativo;rt moren privatiz hag obras gob contabiliz perd gener gan
negativo;tipej santiag cuest argument empres public pag util ignor empres priv perd porcentaj pag usuari
positivo;rt graci apoy proyect distint deport tradicional
negativo;razon concesion empres gananci dirigent gremial sr miguel garci habl mal dirig falt microfon
negativo;sac traidor malagradec saqueador furi puebl traicion violent tiran secuac
negativo;wow usand villavicenci desesperadit mashi
positivo;llam 
negativo;sres necesit solucion reiter servici kier traicion persuad
negativo;rt ministr sal
negativo;pesim servici
positivo;rt navid elig mot mot mot dobl gig naveg
positivo;concesion ani cost millon dolar util santiag cuest banquer llev gratis tramit papi puebl pag
negativo;intern post fall senial
negativo;contrat servici corpor internet pens servici mejorari empres public interes
positivo;hol graci viv guayaquil via acla cost ciudadel puert azul mz prim numer graci ayudenm
negativo;sig esper comuniqu intern envi dm
